station,region
London St Pancras,London
London Kings Cross,London
London Paddington,London
London Euston,London
London Waterloo,London
Liverpool Lime Street,North West England
Manchester Piccadilly,North West England
Warrington,North West England
Crewe,North West England
Newcastle,North East England
Durham,North East England
York,North East England
Leeds,North East England
Wakefield,North East England
Birmingham New Street,West Midlands
Wolverhampton,West Midlands
Coventry,West Midlands
Stafford,West Midlands
Nuneaton,West Midlands
Tamworth,West Midlands
Nottingham,East Midlands
Leicester,East Midlands
Peterborough,East Midlands
Reading,South East England
Oxford,South East England
Didcot,South East England
Swindon,South East England
Bristol Temple Meads,South West England
Sheffield,Yorkshire
Doncaster,Yorkshire
Edinburgh,Scotland
Edinburgh Waverley,Scotland
Cardiff Central,Wales
